Title,URL,Description,Best Rating,Worst Rating,Rating Value,Genre,Duration
Bridget Jones: Mad About the Boy,https://www.imdb.com/title/tt32063050/,"Bridget Jones navigates life as a widow and single mum with the help of her family, friends, and former lover, Daniel. Back to work and on the apps, she&apos;s pursued by a younger man and maybe - just maybe - her son&apos;s science teacher.",10,1,6.7,"Comedy, Drama, Romance",PT2H4M
The Apprentice,https://www.imdb.com/title/tt8368368/,"A young man took over his father&apos;s real-estate business in 1970s and &apos;80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events.",10,1,7.1,"Biography, Drama, History",PT2H2M
Venom: The Last Dance,https://www.imdb.com/title/tt16366836/,Eddie Brock and Venom must make a devastating decision as they&apos;re pursued by a mysterious military man and alien monsters from Venom&apos;s home world.,10,1,6,"Action, Adventure, Sci-Fi",PT1H50M
Another Simple Favor,https://www.imdb.com/title/tt20214908/,"Follows Stephanie Smothers and Emily Nelson as they head to the beautiful island of Capri, Italy, for Emily&apos;s extravagant wedding to a rich Italian businessman.",N/A,N/A,N/A,"Comedy, Crime, Mystery",PT2H
Nezha: Mo tong nao hai,https://www.imdb.com/title/tt34956443/,"After the catastrophe, although the souls of Nezha and Aobing were saved, their bodies would soon be shattered. Taiyi Zhenren planned to use the seven-colored lotus to rebuild their bodies.",10,1,8.1,"Animation, Action, Adventure",PT2H23M
Midnight in the Switchgrass,https://www.imdb.com/title/tt11656220/,An FBI agent and Florida State officer team up to investigate a string of unsolved murder cases.,10,1,4.6,"Crime, Mystery, Thriller",PT1H39M
Gisaengchung,https://www.imdb.com/title/tt6751668/,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,10,1,8.5,"Drama, Thriller",PT2H12M
My Fault: London,https://www.imdb.com/title/tt32434379/,"An 18-year-old girl moves from America to London with her mother and wealthy stepfather. She meets her stepbrother, and an attraction brews despite their efforts. Unaware, her estranged father tracks her down after release from pr...",10,1,6.2,Drama,PT2H
Marching Powder,https://www.imdb.com/title/tt30324320/,"Middle-aged Jack, arrested for drugs, strives in 6 weeks to repair marriage, curb bullying in-law, and guide stepbrother Kenny Boy, but his efforts fail as life spirals out of control.",10,1,5.7,"Action, Comedy, Crime",PT1H36M
Presence,https://www.imdb.com/title/tt28249919/,A family becomes convinced they are not alone after moving into their new home in the suburbs.,10,1,6.2,"Drama, Horror, Thriller",PT1H24M
Longlegs,https://www.imdb.com/title/tt23468450/,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",10,1,6.6,"Crime, Horror, Thriller",PT1H41M
The Wild Robot,https://www.imdb.com/title/tt29623480/,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island&apos;s animals and cares for an orphaned baby goose.",10,1,8.2,"Animation, Sci-Fi",PT1H42M
Dune: Part Two,https://www.imdb.com/title/tt15239678/,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible fu...",10,1,8.5,"Action, Adventure, Drama",PT2H46M
Thunderbolts*,https://www.imdb.com/title/tt20969586/,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",N/A,N/A,N/A,"Action, Adventure, Crime",N/A
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",10,1,9.3,Drama,PT2H22M
Naadaniyaan,https://www.imdb.com/title/tt30422937/,A privileged Delhi socialite hires a middle-class student to pose as her boyfriend to maintain her social status. Their pretense becomes complicated when genuine feelings develop between them.,10,1,3.1,"Drama, Romance",PT1H59M
Parthenope,https://www.imdb.com/title/tt23853982/,Parthenope is a woman who bears the name of her city. Is she a siren or a myth?,10,1,6.7,"Drama, Fantasy",PT2H17M
Pushpa: The Rule - Part 2,https://www.imdb.com/title/tt16539454/,"A smuggling kingpin faces off against a vengeful rival while manipulating politics, making big deals, and navigating tense confrontations. A public apology leads to a dramatic showdown, ending with challenge.",10,1,6.1,"Action, Crime, Drama",PT3H21M
Contraataque,https://www.imdb.com/title/tt23648788/,"Five friends shopping at US/Mexico border face sicario hitmen, but the targets are actually Murciélagos.",10,1,6,"Action, Thriller",PT1H24M
Mufasa: The Lion King,https://www.imdb.com/title/tt13186482/,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",10,1,6.6,"Animation, Adventure, Drama",PT1H58M
Opus,https://www.imdb.com/title/tt29929565/,"A writer travels to the compound of a pop icon who disappeared years ago. Surrounded by his cult of sycophants, as well as a group of fellow journalists, she soon discovers his twisted plans for the gathering.",10,1,5.8,Drama,PT1H43M
Pulp Fiction,https://www.imdb.com/title/tt0110912/,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",10,1,8.9,"Crime, Drama",PT2H34M
Pride &amp; Prejudice,https://www.imdb.com/title/tt0414387/,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",10,1,7.8,"Drama, Romance",PT2H9M
The Alto Knights,https://www.imdb.com/title/tt21815562/,"Two of New York City&apos;s most notorious organized crime bosses vie for control of the city&apos;s streets. Once best friends, petty jealousies and a series of betrayals set them on a deadly collision course.",N/A,N/A,N/A,"Biography, Crime, Drama",PT2H
The Accountant 2,https://www.imdb.com/title/tt7068946/,Christian Wolff applies his brilliant mind and illegal methods to reconstruct the unsolved puzzle of a Treasury chief&apos;s murder.,10,1,7.9,"Action, Crime, Drama",PT2H4M
William Tell,https://www.imdb.com/title/tt22478818/,"The narrative unfolds in the 14th Century amidst the days of the Holy Roman Empire where Europe&apos;s nations fiercely vie for supremacy and the ambitious Austrians, desiring more land, encroach upon Switzerland, a serene and pastoral...",10,1,5.8,"Action, Biography, Drama",PT2H13M
